year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2017,TWIN,addition,True,2017-06-01,2017-06-23,adjClose,-0.13603949533662874,0.014105793450912563,-0.1501452887875413
2020,TWIN,deletion,True,2020-06-15,2020-06-26,adjClose,-0.08261617899244167,-0.030640470954920174,-0.051975708037521495
2018,TYME,addition,True,2018-06-11,2018-06-22,adjClose,0.3588039867109636,0.0062960964203993,0.3525078902905643
2021,TYME,deletion,True,2021-06-07,2021-06-25,adjClose,-0.19631901840490784,0.009467139915354084,-0.20578615832026192
2016,TZOO,deletion,True,2016-06-13,2016-06-24,adjClose,-0.037878787878787845,-0.019684696454071005,-0.01819409142471684
2018,TZOO,addition,True,2018-06-11,2018-06-22,adjClose,-0.08264462809917361,0.0062960964203993,-0.08894072451957291
2020,TZOO,deletion,True,2020-06-15,2020-06-26,adjClose,-0.18482758620689654,-0.030640470954920174,-0.15418711525197637
2021,UAVS,addition,True,2021-06-07,2021-06-25,adjClose,-0.07142857142857151,0.009467139915354084,-0.08089571134392559
2022,UAVS,deletion,True,2022-06-06,2022-06-24,adjClose,-0.14646280791166122,-0.06551746377655376,-0.08094534413510746
2017,UBFO,addition,True,2017-06-01,2017-06-23,adjClose,0.047872340418450676,0.014105793450912563,0.033766546967538114
2021,UBFO,deletion,True,2021-06-07,2021-06-25,adjClose,-0.03313609466272194,0.009467139915354084,-0.04260323457807602
2018,UBX,addition,True,2018-06-11,2018-06-22,adjClose,0.0026631158455392434,0.0062960964203993,-0.0036329805748600563
2021,UBX,deletion,True,2021-06-07,2021-06-25,adjClose,-0.09394572025052195,0.009467139915354084,-0.10341286016587603
2016,UEC,deletion,True,2016-06-13,2016-06-24,adjClose,-0.18867924528301894,-0.019684696454071005,-0.16899454882894793
2017,UEC,addition,True,2017-06-01,2017-06-23,adjClose,0.23664122137404586,0.014105793450912563,0.2225354279231333
2016,UFAB,addition,False,,,,,,
2017,UFAB,deletion,False,,,,,,
2022,UIHC,deletion,False,,,,,,
2023,UIHC,addition,False,,,,,,
