company,symbol,sector,list_kind,index_kind,source_file
INVESTORS TITLE CO,ITIC,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
IRIDEX CORP,IRIX,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LAKE SUNAPEE BANK GROUP,LSBG,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LAYNE CHRISTENSEN CO,LAYN,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LCNB CORP,LCNB,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LIFEVANTAGE CORP,LFVN,Consumer Staples,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LINDBLAD EXPEDITIONS INC,LIND,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LIPOCINE INC,LPCN,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
LUBYS INC,LUB,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MACATAWA BANK CORP,MCBC,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MAJESCO,MJCO,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MANNING & NAPIER INC,MN,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MAXWELL TECHNOLOGIES INC,MXWL,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MBT FINL CORP,MBTF,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MEDICINOVA INC,MNOV,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MEETME INC,MEET,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MIDDLEBURG FINANCIAL,MBRG,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
MIDLAND STATES BANCORP,MSBI,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
